cells,characters,dropout,mutationrate,rep,method,#branches,#FN,#FP,#TP,FN_rate,FP_rate,TP_rate,parsimony-score,time,normalized-parsimony-score
50,10,0.15,0.1,10,laml,48,2,43,5,0.285714,0.895833,0.104167,67.69,221.08,0.9711621233859397417503586801
50,10,0.15,0.1,10,paup,9,2,4,5,0.285714,0.444444,0.555556,67.49,1.78,0.9682926829268292682926829268
50,10,0.15,0.1,10,star_cdp,48,2,43,5,0.285714,0.895833,0.104167,65.48,3.97,0.9394548063127690100430416069
50,10,0.15,0.1,10,star_cdp-rand,48,2,43,5,0.285714,0.895833,0.104167,65.48,3.92,0.9394548063127690100430416069
50,10,0.15,0.1,10,paup-sc,5,2,0,5,0.285714,0.0,1.0,86.85,,1.246054519368723098995695839
50,10,0.15,0.1,10,star_cdp-sc,8,2,3,5,0.285714,0.375,0.625,67.69,,0.9711621233859397417503586801
50,10,0.15,0.1,10,ground-truth,7,0,0,7.0,0.0,0.0,1,69.70,,1
50,10,0.15,0.1,11,cassiopeia-greedy,33,6,29,4,0.6,0.878788,0.121212,75.20,5.59,1.037957211870255348516218081
50,10,0.15,0.1,11,startle_nni,48,5,43,5,0.5,0.895833,0.104167,84.88,3.66,1.171566597653554175293305728
50,10,0.15,0.1,11,startle_nni_python,20,5,15,5,0.5,0.75,0.25,72.45,106.31,1
50,10,0.15,0.1,11,startle_ilp,21,5,16,5,0.5,0.761905,0.238095,72.45,11.72,1
50,10,0.15,0.1,11,laml,48,5,43,5,0.5,0.895833,0.104167,81.87,577.46,1.130020703933747412008281573
50,10,0.15,0.1,11,paup,25,5,20,5,0.5,0.8,0.2,72.45,1.51,1
50,10,0.15,0.1,11,star_cdp,48,4,42,6,0.4,0.875,0.125,69.43,3.85,0.9583160800552104899930986888
50,10,0.15,0.1,11,star_cdp-rand,48,6,44,4,0.6,0.916667,0.083333,69.43,3.83,0.9583160800552104899930986888
50,10,0.15,0.1,11,paup-sc,3,7,0,3,0.7,0.0,1.0,155.92,,2.152104899930986887508626639
50,10,0.15,0.1,11,star_cdp-sc,5,7,2,3,0.7,0.4,0.6,276.53,,3.816839199447895100069013112
50,10,0.15,0.1,11,ground-truth,10,0,0,10.0,0.0,0.0,1,72.45,,1
