cells,characters,dropout,mutationrate,rep,method,#branches,#FN,#FP,#TP,FN_rate,FP_rate,TP_rate,parsimony-score,time,normalized-parsimony-score
50,10,0.15,0.1,18,star_cdp-sc,9,7,4,5,0.583333,0.444444,0.555556,147.60,,2.281298299845440494590417311
50,10,0.15,0.1,18,ground-truth,12,0,0,12.0,0.0,0.0,1,64.70,,1
50,10,0.15,0.1,19,cassiopeia-greedy,4,2,3,1,0.666667,0.75,0.25,21.23,5.88,1
50,10,0.15,0.1,19,startle_nni,5,2,4,1,0.666667,0.8,0.2,26.38,3.25,1.242581252943947244465379180
50,10,0.15,0.1,19,startle_ilp,5,3,5,0,1.0,1.0,0.0,21.23,11.77,1
50,10,0.15,0.1,19,laml,4,2,3,1,0.666667,0.75,0.25,26.38,1830.69,1.242581252943947244465379180
50,10,0.15,0.1,19,paup,3,2,2,1,0.666667,0.666667,0.333333,19.76,1.87,0.9307583608101742816768723504
50,10,0.15,0.1,19,star_cdp,5,3,5,0,1.0,1.0,0.0,19.76,3.59,0.9307583608101742816768723504
50,10,0.15,0.1,19,paup-sc,0,3,0,0,1.0,inf,inf,44.43,,2.092793217145548751766368347
50,10,0.15,0.1,19,star_cdp-sc,2,2,1,1,0.666667,0.5,0.5,22.95,,1.081017428167687235044747998
50,10,0.15,0.1,19,ground-truth,3,0,0,3.0,0.0,0.0,1,21.23,,1
50,10,0.15,0.1,20,cassiopeia-greedy,10,2,4,6,0.25,0.4,0.6,55.60,5.42,1
50,10,0.15,0.1,20,startle_nni,10,5,7,3,0.625,0.7,0.3,73.42,3.34,1.320503597122302158273381295
50,10,0.15,0.1,20,startle_ilp,10,2,4,6,0.25,0.4,0.6,55.60,12.99,1
50,10,0.15,0.1,20,laml,8,5,5,3,0.625,0.625,0.375,73.42,64.27,1.320503597122302158273381295
50,10,0.15,0.1,20,paup,12,1,5,7,0.125,0.416667,0.583333,55.60,1.69,1
50,10,0.15,0.1,20,star_cdp,12,4,8,4,0.5,0.666667,0.333333,55.60,3.55,1
50,10,0.15,0.1,20,paup-sc,3,5,0,3,0.625,0.0,1.0,84.88,,1.526618705035971223021582734
50,10,0.15,0.1,20,star_cdp-sc,6,2,0,6,0.25,0.0,1.0,74.79,,1.345143884892086330935251799
50,10,0.15,0.1,20,ground-truth,8,0,0,8.0,0.0,0.0,1,55.60,,1
50,20,0.15,0.1,0,cassiopeia-greedy,17,5,8,9,0.357143,0.470588,0.529412,184.16,5.55,1.013092749477390251952910111
50,20,0.15,0.1,0,startle_nni,16,5,7,9,0.357143,0.4375,0.5625,186.01,3.88,1.023269886676202002420508307
50,20,0.15,0.1,0,startle_ilp,15,6,7,8,0.428571,0.466667,0.533333,178.02,13.91,0.9793156562878204422928815051
50,20,0.15,0.1,0,laml,15,5,6,9,0.357143,0.4,0.6,186.01,116.65,1.023269886676202002420508307
50,20,0.15,0.1,0,paup,15,6,7,8,0.428571,0.466667,0.533333,178.02,1.57,0.9793156562878204422928815051
50,20,0.15,0.1,0,star_cdp,17,5,8,9,0.357143,0.470588,0.529412,178.02,3.72,0.9793156562878204422928815051
50,20,0.15,0.1,0,paup-sc,9,7,2,7,0.5,0.222222,0.777778,214.74,,1.181318076796127186709208934
50,20,0.15,0.1,0,star_cdp-sc,15,6,7,8,0.428571,0.466667,0.533333,188.55,,1.037242820992408405765210694
50,20,0.15,0.1,0,ground-truth,14,0,0,14.0,0.0,0.0,1,181.78,,1
50,20,0.15,0.1,1,cassiopeia-greedy,16,8,9,7,0.533333,0.5625,0.4375,137.78,5.43,1.023777678704116510625650171
50,20,0.15,0.1,1,startle_nni,17,12,14,3,0.8,0.823529,0.176471,161.70,4.48,1.201515827017387427552385198
50,20,0.15,0.1,1,startle_ilp,,,,,,,,,15.90,
50,20,0.15,0.1,1,laml,15,12,12,3,0.8,0.8,0.2,159.94,614.97,1.188438103730123346708277604
50,20,0.15,0.1,1,paup,18,8,11,7,0.533333,0.611111,0.388889,132.83,1.43,0.9869965819586862832515975628
