"NLIN","NCHR","LABL","REPL","MTHD","NIBR_TRUE","NIBR_ESTI","FN","FP","TP","FN_RATE","FP_RATE","TP_RATE","PRECISION","RECALL","F1SCORE","RF","PSCORE","NORM_PSCORE","SECS"
50,10,"50x10",14,"Cassiopeia-Greedy",5,6,3,4,2,0.6,0.666667,0.333333,0.3333333333333333,0.4,0.36363636363636365,7,31.57,0.9214827787507298,5.05
50,10,"50x10",14,"Startle-NNI (Py)",5,8,2,5,3,0.4,0.625,0.375,0.375,0.6,0.46153846153846156,7,31.57,0.9214827787507298,49.71
50,10,"50x10",14,"StarCDP-Rand",5,10,3,8,2,0.6,0.8,0.2,0.2,0.4,0.26666666666666666,11,31.57,0.9214827787507298,3.72
50,10,"50x10",14,"StarCDP-Bias",5,7,4,6,1,0.8,0.857143,0.142857,0.14285714285714285,0.2,0.16666666666666666,10,31.57,0.9214827787507298,3.64
50,10,"50x10",14,"PAUP*",5,6,2,3,3,0.4,0.5,0.5,0.5,0.6,0.5454545454545454,5,31.57,0.9214827787507298,1.68
50,10,"50x10",14,"PAUP*-SC",5,1,4,0,1,0.8,0.0,1.0,1.0,0.2,0.3333333333333333,4,160.23,4.676882661996498,"NA"
50,10,"50x10",14,"StarCDP-SC",5,6,1,2,4,0.2,0.333333,0.666667,0.6666666666666666,0.8,0.7272727272727273,3,59.31,1.7311733800350264,"NA"
50,10,"50x10",14,"Startle-ILP",5,8,2,5,3,0.4,0.625,0.375,0.375,0.6,0.46153846153846156,7,31.57,0.9214827787507298,12.25
50,10,"50x10",15,"Startle-NNI (C++)",9,9,3,3,6,0.333333,0.333333,0.666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,79.42,1.044038385697384,3.16
50,10,"50x10",15,"LAML",9,9,3,3,6,0.333333,0.333333,0.666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,79.42,1.044038385697384,204.67
50,10,"50x10",15,"Cassiopeia-Greedy",9,11,5,7,4,0.555556,0.636364,0.363636,0.36363636363636365,0.4444444444444444,0.4,12,76.07,1.0,5.44
50,10,"50x10",15,"Startle-NNI (Py)",9,10,4,5,5,0.444444,0.5,0.5,0.5,0.5555555555555556,0.5263157894736842,9,76.07,1.0,56.39
50,10,"50x10",15,"StarCDP-Rand",9,13,4,8,5,0.444444,0.615385,0.384615,0.38461538461538464,0.5555555555555556,0.4545454545454546,12,76.07,1.0,3.85
50,10,"50x10",15,"StarCDP-Bias",9,9,6,6,3,0.666667,0.666667,0.333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,12,76.07,1.0,3.86
50,10,"50x10",15,"PAUP*",9,11,5,7,4,0.555556,0.636364,0.363636,0.36363636363636365,0.4444444444444444,0.4,12,76.07,1.0,1.43
50,10,"50x10",15,"PAUP*-SC",9,2,7,0,2,0.777778,0.0,1.0,1.0,0.2222222222222222,0.36363636363636365,7,242.62,3.189430787432628,"NA"
50,10,"50x10",15,"StarCDP-SC",9,7,5,3,4,0.555556,0.428571,0.571429,0.5714285714285714,0.4444444444444444,0.5,8,114.09,1.49980281319837,"NA"
50,10,"50x10",15,"Startle-ILP",9,9,6,6,3,0.666667,0.666667,0.333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,12,76.07,1.0,12.4
50,10,"50x10",16,"Startle-NNI (C++)",9,8,5,4,4,0.555556,0.5,0.5,0.5,0.4444444444444444,0.47058823529411764,9,76.07,1.0,3.59
50,10,"50x10",16,"LAML",9,9,5,5,4,0.555556,0.555556,0.444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,10,76.07,1.0,128.36
50,10,"50x10",16,"Cassiopeia-Greedy",9,11,5,7,4,0.555556,0.636364,0.363636,0.36363636363636365,0.4444444444444444,0.4,12,76.07,1.0,6.61
50,10,"50x10",16,"Startle-NNI (Py)",9,10,4,5,5,0.444444,0.5,0.5,0.5,0.5555555555555556,0.5263157894736842,9,76.07,1.0,57.7
50,10,"50x10",16,"StarCDP-Rand",9,13,4,8,5,0.444444,0.615385,0.384615,0.38461538461538464,0.5555555555555556,0.4545454545454546,12,76.07,1.0,3.73
50,10,"50x10",16,"StarCDP-Bias",9,9,6,6,3,0.666667,0.666667,0.333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,12,76.07,1.0,3.69
50,10,"50x10",16,"PAUP*",9,11,5,7,4,0.555556,0.636364,0.363636,0.36363636363636365,0.4444444444444444,0.4,12,76.07,1.0,1.32
