"SILENCING","PRIOR","LABL","REPL","MTHD","NIBR_TRUE","NIBR_ESTI","FN","FP","TP","FN_RATE","FP_RATE","TP_RATE","PRECISION","RECALL","F1SCORE","RF","PSCORE","NORM_PSCORE","SECS","CONTRACT"
0,2,"0%",5,"PAUP*",248,234,85,71,163,0.342742,0.303419,0.696581,0.6965811965811965,0.657258064516129,0.6763485477178423,156,2108.88,0.9877843144602241,53.76,"NONE"
0,2,"0%",5,"PAUP*-SC",248,156,109,17,139,0.439516,0.108974,0.891026,0.8910256410256411,0.5604838709677419,0.6881188118811881,126,"NA","NA","NA","NONE"
0,2,"0%",5,"StarCDP-SC",248,164,103,19,145,0.415323,0.115854,0.884146,0.8841463414634146,0.5846774193548387,0.7038834951456311,122,"NA","NA","NA","NONE"
0,3,"0%",1,"Startle-NNI (C++)",248,248,165,165,83,0.665323,0.665323,0.334677,0.3346774193548387,0.3346774193548387,0.3346774193548387,330,2014.22,1.1893337742165957,6.2,"NONE"
0,3,"0%",1,"LAML",248,248,162,162,86,0.653226,0.653226,0.346774,0.3467741935483871,0.3467741935483871,0.3467741935483871,324,2009.05,1.1862810512703934,5404.24,"NONE"
0,3,"0%",1,"Cassiopeia-Greedy",248,247,192,191,56,0.774194,0.773279,0.226721,0.22672064777327935,0.22580645161290322,0.22626262626262625,383,2277.74,1.3449340741746723,6.06,"NONE"
0,3,"0%",1,"StarCDP-Rand",248,248,77,77,171,0.310484,0.310484,0.689516,0.6895161290322581,0.6895161290322581,0.6895161290322581,154,1671.27,0.9868325489941366,67.75,"NONE"
0,3,"0%",1,"StarCDP-Bias",248,248,91,91,157,0.366935,0.366935,0.633065,0.6330645161290323,0.6330645161290323,0.6330645161290323,182,1671.27,0.9868325489941366,66.21,"NONE"
0,3,"0%",1,"PAUP*",248,222,86,60,162,0.346774,0.27027,0.72973,0.7297297297297297,0.6532258064516129,0.6893617021276595,146,1676.36,0.9898380344479413,47.28,"NONE"
0,3,"0%",1,"PAUP*-SC",248,146,117,15,131,0.471774,0.10274,0.89726,0.8972602739726028,0.5282258064516129,0.6649746192893401,132,"NA","NA","NA","NONE"
0,3,"0%",1,"StarCDP-SC",248,153,113,18,135,0.455645,0.117647,0.882353,0.8823529411764706,0.5443548387096774,0.6733167082294264,131,"NA","NA","NA","NONE"
0,3,"0%",2,"Startle-NNI (C++)",248,248,179,179,69,0.721774,0.721774,0.278226,0.2782258064516129,0.2782258064516129,0.2782258064516129,358,2114.74,1.2121215595015646,11.76,"NONE"
0,3,"0%",2,"LAML",248,248,179,179,69,0.721774,0.721774,0.278226,0.2782258064516129,0.2782258064516129,0.2782258064516129,358,2093.77,1.2001020256095742,12649.74,"NONE"
0,3,"0%",2,"Cassiopeia-Greedy",248,246,200,198,48,0.806452,0.804878,0.195122,0.1951219512195122,0.1935483870967742,0.194331983805668,398,2286.72,1.310696640033015,5.84,"NONE"
0,3,"0%",2,"StarCDP-Rand",248,248,87,87,161,0.350806,0.350806,0.649194,0.6491935483870968,0.6491935483870968,0.6491935483870968,174,1708.56,0.979308289294189,77.91,"NONE"
0,3,"0%",2,"StarCDP-Bias",248,248,100,100,148,0.403226,0.403226,0.596774,0.5967741935483871,0.5967741935483871,0.5967741935483871,200,1708.56,0.979308289294189,75.51,"NONE"
0,3,"0%",2,"PAUP*",248,225,98,75,150,0.395161,0.333333,0.666667,0.6666666666666666,0.6048387096774194,0.6342494714587738,173,1713.65,0.9822257631859502,58.22,"NONE"
0,3,"0%",2,"PAUP*-SC",248,151,123,26,125,0.495968,0.172185,0.827815,0.8278145695364238,0.5040322580645161,0.6265664160401002,149,"NA","NA","NA","NONE"
0,3,"0%",2,"StarCDP-SC",248,167,114,33,134,0.459677,0.197605,0.802395,0.8023952095808383,0.5403225806451613,0.6457831325301205,147,"NA","NA","NA","NONE"
0,3,"0%",3,"Startle-NNI (C++)",248,248,169,169,79,0.681452,0.681452,0.318548,0.3185483870967742,0.3185483870967742,0.3185483870967742,338,2112.04,1.1681766391221142,4.46,"NONE"
0,3,"0%",3,"LAML",248,248,162,162,86,0.653226,0.653226,0.346774,0.3467741935483871,0.3467741935483871,0.3467741935483871,324,2089.73,1.155836900850673,10678.98,"NONE"
0,3,"0%",3,"Cassiopeia-Greedy",248,247,201,200,47,0.810484,0.809717,0.190283,0.1902834008097166,0.18951612903225806,0.1898989898989899,401,2599.09,1.4375656810362947,6.18,"NONE"
0,3,"0%",3,"StarCDP-Rand",248,248,76,76,172,0.306452,0.306452,0.693548,0.6935483870967742,0.6935483870967742,0.6935483870967742,152,1773.8,0.9810949236164116,72.25,"NONE"
0,3,"0%",3,"StarCDP-Bias",248,248,95,95,153,0.383065,0.383065,0.616935,0.6169354838709677,0.6169354838709677,0.6169354838709677,190,1773.8,0.9810949236164116,71.09,"NONE"
0,3,"0%",3,"PAUP*",248,229,87,68,161,0.350806,0.296943,0.703057,0.7030567685589519,0.6491935483870968,0.6750524109014675,155,1778.89,0.9839102202457992,56.76,"NONE"
0,3,"0%",3,"PAUP*-SC",248,159,114,25,134,0.459677,0.157233,0.842767,0.8427672955974843,0.5403225806451613,0.6584766584766585,139,"NA","NA","NA","NONE"
0,3,"0%",3,"StarCDP-SC",248,162,113,27,135,0.455645,0.166667,0.833333,0.8333333333333334,0.5443548387096774,0.6585365853658536,140,"NA","NA","NA","NONE"
0,3,"0%",4,"Startle-NNI (C++)",248,248,183,183,65,0.737903,0.737903,0.262097,0.2620967741935484,0.2620967741935484,0.2620967741935484,366,2077.85,1.1997517177666146,5.47,"NONE"
0,3,"0%",4,"LAML",248,248,183,183,65,0.737903,0.737903,0.262097,0.2620967741935484,0.2620967741935484,0.2620967741935484,366,2072.82,1.1968473930365495,6881.68,"NONE"
0,3,"0%",4,"Cassiopeia-Greedy",248,248,203,203,45,0.818548,0.818548,0.181452,0.1814516129032258,0.1814516129032258,0.1814516129032258,406,2571.34,1.484693111611525,5.9,"NONE"
0,3,"0%",4,"StarCDP-Rand",248,248,85,85,163,0.342742,0.342742,0.657258,0.657258064516129,0.657258064516129,0.657258064516129,170,1699.96,0.981557826664357,56.48,"NONE"
